Title,Rating,Year,Popularity
Operation Phoenix Chronicles,6.3,2014,3.23
Operation Thunder Reborn,7.3,2008,43.74
Operation Warrior Divided,8.0,2014,23.81
Operation Warrior Reborn,7.9,2021,9.24
Operation Warrior Returns,8.3,2019,24.2
Paradise 1,6.9,2019,100.0
Paradise 2,6.3,2006,25.22
Paradise 2 Part 1,6.7,2015,54.28
Paradise 2 Part 2,7.5,2023,25.46
Paradise 2 Part 3,6.1,1986,2.03
Paradise 3,8.6,2010,9.71
Paradise 3 Part 1,7.8,2017,6.62
Paradise 4,8.8,2016,3.78
Paradise 5,4.8,2024,0.77
Paradise 5 Part 1,9.3,1991,1.96
Paradise Effect,7.6,2017,1.6
Paradise Effect Part 1,5.6,2020,9.16
Paradise Effect Part 2,9.1,2017,8.98
Paradise Project,6.8,2020,4.87
Paradise Project Part 1,4.7,2022,3.52
Paradise Protocol,6.2,2014,10.48
Paradise Signal,8.7,2021,70.01
Paradise Theory,8.6,1996,4.62
Paradise Theory Part 1,7.7,2006,18.06
Phoenix 1,5.8,2022,100.0
Phoenix 1 Part 1,8.5,2001,1.15
Phoenix 2,5.4,2023,7.36
Phoenix 2 Part 1,9.4,2007,11.19
Phoenix 2 Part 2,8.0,2020,14.19
Phoenix 2 Part 3,8.1,2011,11.88
Phoenix 3,8.6,2013,23.96
Phoenix 4,8.4,2022,18.74
Phoenix 4 Part 1,6.4,1993,3.58
Phoenix 4 Part 2,6.9,2006,16.77
Phoenix Day,9.2,2013,4.41
Phoenix Day Part 1,7.4,2006,89.42
Phoenix Project,8.7,2022,59.02
Phoenix Protocol,8.8,2003,65.92
Phoenix Protocol Part 1,7.7,2020,3.58
Phoenix Theory,8.9,2015,4.97
Phoenix Theory Part 1,9.9,2006,12.19
Redemption 1,4.2,2016,1.46
Redemption 2,7.9,2021,5.8
Redemption 2 Part 1,7.3,2020,23.43
Redemption 2 Part 2,9.2,2011,78.21
Redemption 2 Part 3,6.7,2003,11.78
Redemption 2 Part 4,7.2,2016,0.67
Redemption 3,6.5,2007,1.5
Redemption 4,5.5,2020,7.04
Redemption 4 Part 1,9.4,2021,2.15
Redemption 4 Part 2,8.2,1990,74.27
Redemption 5,7.8,2007,2.01
Redemption 5 Part 1,9.0,2016,15.3
Redemption 5 Part 2,8.8,2014,6.24
Redemption Code,5.1,2021,20.31
Redemption Day,8.6,2015,0.1
Redemption Day Part 1,6.4,2022,1.57
Redemption Effect,7.4,2019,14.19
Redemption Effect Part 1,8.9,2016,16.73
Redemption Game,6.8,2009,2.23
Redemption Game Part 1,6.2,2023,2.58
Redemption Night,4.7,1992,61.14
Redemption Night Part 1,7.9,1999,100.0
Redemption Project,9.2,2000,100.0
Redemption Protocol,8.0,2022,3.69
Redemption Signal,9.4,2017,100.0
Redemption Signal Part 1,8.9,2016,62.11
Redemption Theory,4.1,2007,8.67
Return to Dawn Chronicles,6.8,2009,26.65
Return to Dawn Origins,8.9,2020,97.16
Return to Destiny Awakened,7.5,2009,13.32
Return to Destiny Chronicles,7.3,2010,39.26
Return to Eclipse Legacy,8.5,2008,19.81
Return to Eclipse Lost,5.8,2011,3.67
Return to Empire,8.2,2021,8.57
Return to Empire United,7.2,1989,4.59
Return to Horizon Reborn,9.1,2012,58.76
Return to Hunter United,7.4,2009,30.3
Return to Legacy Legacy,8.4,2023,59.17
Return to Mountain Legacy,7.8,2004,0.99
Return to Ocean Awakened,6.2,2013,2.77
Return to Ocean Legacy,7.0,2024,9.61
Return to Ocean United,3.8,2003,71.46
Return to Paradise,9.4,2009,1.0
Return to Paradise Eternal,5.0,2022,60.21
Return to Phoenix Origins,4.6,2019,2.54
Return to Redemption Found,7.8,1989,12.64
Return to Shadow Origins,7.6,1999,99.9
Return to Shadow Reborn,7.4,2023,2.77
Return to Storm Origins,6.8,1991,12.24
Return to Storm Reborn,6.2,1996,100.0
Return to Thunder Legacy,9.6,2021,11.57
Return to Thunder Lost,7.5,2023,8.28
Return to Universe Origins,6.6,2014,5.61
Return to Valley Eternal,8.1,2004,62.88
Rise of City Chronicles,7.4,2020,1.75
Rise of City Forever,7.7,2021,5.94
Rise of Dawn Awakened,5.9,2011,0.55
Rise of Dawn Returns,8.0,2021,72.5
Rise of Destiny,6.4,2016,1.01
Rise of Destiny Chronicles,8.0,1999,15.01
Rise of Eclipse Forever,6.0,1989,4.42
Rise of Empire Divided,7.6,1994,1.19
Rise of Empire Lost,9.3,2013,100.0
Rise of Guardian Lost,9.1,2011,41.81
Rise of Horizon Origins,7.1,2018,1.6
Rise of Hunter Found,9.1,1993,12.12
Rise of Kingdom Chronicles,8.2,2022,5.33
Rise of Ocean Lost,7.3,2020,4.92
Rise of Paradise Eternal,7.0,2014,21.85
Rise of Paradise Lost,8.8,2019,17.06
Rise of Paradise Reborn,7.6,2021,18.82
Rise of Storm Lost,8.3,2016,5.87
Rise of Universe Found,6.1,2003,1.08
Rise of Warrior,9.6,1996,8.1
Rise of Warrior Awakened,8.3,2010,12.35
Rise of Warrior Chronicles,6.4,2022,17.51
Rise of Warrior United,8.6,2012,31.07
Secret of City Legacy,8.9,2009,6.18
Secret of Destiny Reborn,9.0,2016,16.8
Secret of Empire Rises,8.1,2009,8.76
Secret of Horizon Lost,5.6,2021,4.44
Secret of Hunter Lost,5.0,2020,7.77
Secret of Legacy Divided,8.4,2024,29.06
Secret of Midnight Forever,4.4,2013,100.0
Secret of Phoenix,9.4,2006,67.74
Secret of Phoenix United,5.9,2001,1.48
Secret of Shadow Reborn,6.5,1995,12.06
Secret of Storm,4.2,2004,13.31
Secret of Storm Found,8.7,2019,90.17
Secret of Thunder Found,4.1,2016,17.0
Secret of Thunder Origins,9.2,2008,4.88
Secret of Valley Forever,4.6,2003,9.13
Secret of Vengeance Eternal,6.1,2005,29.85
Secret of Warrior Awakened,2.9,2022,10.55
Shadow 2,9.1,2008,12.52
Shadow 2 Part 1,4.9,1988,11.97
Shadow 3,7.9,2004,21.99
Shadow 5,7.4,2016,36.52
Shadow Day,6.9,2001,10.11
Shadow Effect,7.8,1998,3.99
Shadow Effect Part 1,6.8,2009,28.87
Shadow Game,6.5,2022,28.24
Shadow Night,5.5,2011,0.33
Shadow Night Part 1,8.7,1999,17.56
Shadow Project,8.2,2024,2.65
Shadow Project Part 1,4.0,2014,0.63
Shadow Project Part 2,7.8,2021,5.94
Shadow Project Part 3,8.3,1996,33.2
Shadow Protocol,7.6,2011,2.33
Shadow Signal,8.5,2012,13.47
Shadow Signal Part 1,7.9,1996,13.01
Shadows of Dragon Awakened,4.7,2018,8.99
Shadows of Dragon Eternal,8.7,2003,11.65
Shadows of Dragon Rises,7.5,2003,26.91
Shadows of Empire Forever,8.6,2021,100.0
Shadows of Empire Origins,8.7,2018,32.02
Shadows of Guardian Rises,6.1,2023,3.05
Shadows of Horizon Chronicles,7.9,1991,7.2
Shadows of Horizon United,6.2,2004,8.68
Shadows of Legacy Divided,7.6,2022,13.01
Shadows of Midnight Eternal,7.7,2018,48.09
Shadows of Midnight Returns,7.4,2010,41.28
Shadows of Mountain Divided,8.0,2015,100.0
Shadows of Phoenix Origins,8.3,2009,36.98
Shadows of Redemption Lost,7.6,2005,53.13
Shadows of Shadow Awakened,8.6,2013,59.96
Shadows of Shadow Divided,9.4,2023,100.0
Shadows of Storm Lost,9.1,2024,22.78
Shadows of Storm Origins,7.2,2019,64.27
Shadows of Universe Found,6.6,2005,8.23
Shadows of Vengeance United,8.5,2019,3.68
Storm 1,8.9,2014,22.88
Storm 2,8.3,2004,1.19
Storm 2 Part 1,8.9,2024,0.15
Storm 3,5.5,2018,11.83
Storm 4,5.4,2019,71.8
Storm 4 Part 1,7.6,2013,4.68
Storm 5,4.2,1994,23.62
Storm 5 Part 1,8.9,2024,4.87
Storm 5 Part 2,9.5,2019,31.34
Storm 5 Part 3,5.3,2020,2.89
Storm Code,9.1,2024,0.44
Storm Code Part 1,8.9,2011,8.9
Storm Day,8.8,2011,17.42
Storm Day Part 1,7.4,2007,51.79
Storm Effect,7.7,2014,39.16
Storm Effect Part 1,8.6,2000,7.59
Storm Effect Part 2,8.7,2022,53.57
Storm Effect Part 3,8.9,2022,23.34
Storm Game,7.1,2023,25.44
Storm Project,5.6,2015,90.98
Storm Project Part 1,5.8,2003,34.7
Storm Protocol,9.0,2010,7.51
Storm Protocol Part 1,7.0,2018,8.74
Storm Protocol Part 2,8.0,2003,76.15
Storm Protocol Part 3,7.8,2001,2.03
Storm Signal,5.9,2012,26.38
Storm Signal Part 1,5.4,1994,0.92
The City Forever,6.6,2018,72.43
The Dawn Divided,9.0,2005,62.11
The Empire Eternal,7.4,2016,18.51
The Empire Reborn,7.4,1995,13.06
The Empire United,6.9,2007,1.39
The Guardian Chronicles,8.4,2023,3.85
The Horizon Forever,9.7,2015,36.88
The Midnight Eternal,7.0,2005,16.64
The Midnight Forever,7.7,2019,19.18
The Ocean Found,8.4,2000,3.12
The Paradise Rises,8.2,2011,83.97
The Shadow Eternal,6.0,2007,11.84
The Shadow Forever,9.1,2023,8.7
The Shadow Lost,9.2,2014,1.18
The Shadow Rises,6.5,2012,45.46
The Storm Forever,7.5,2005,11.94
The Universe Found,7.2,2001,7.35
The Valley Chronicles,4.9,2018,100.0
The Valley Divided,4.3,2011,3.65
Thunder 1,6.7,2024,11.24
Thunder 1 Part 1,8.0,2007,4.84
Thunder 2,8.3,2021,42.1
Thunder 2 Part 1,8.6,2009,7.44
Thunder 2 Part 2,8.8,2024,20.89
Thunder 3,7.9,2018,17.34
Thunder 5,9.4,2024,9.83
Thunder Day,4.7,2024,1.57
Thunder Day Part 1,7.5,2020,97.6
Thunder Effect,8.2,2001,16.68
Thunder Game,6.0,1999,54.23
Thunder Night,7.1,2008,32.61
Thunder Night Part 1,6.0,2014,28.2
Thunder Project,5.6,1996,8.57
Thunder Protocol,8.9,2016,4.34
Thunder Protocol Part 1,7.9,2021,5.87
Thunder Protocol Part 2,8.2,2012,1.17
Thunder Theory,8.2,2019,7.86
Thunder Theory Part 1,7.5,2009,3.56
Universe 1,6.8,2001,3.25
Universe 1 Part 1,8.5,2012,100.0
Universe 1 Part 2,5.2,2015,54.6
Universe 1 Part 3,8.3,2019,4.97
Universe 2,7.3,1997,5.17
Universe 2 Part 1,7.5,2017,3.96
Universe 3,4.2,2011,84.43
Universe 3 Part 1,9.1,2008,19.82
Universe 4,7.7,2022,26.01
Universe 4 Part 1,8.5,2009,22.98
Universe 5,4.3,2017,22.21
Universe 5 Part 1,8.7,2018,1.7
Universe 5 Part 2,9.5,2022,0.17
Universe Code,9.2,1996,100.0
Universe Code Part 1,6.9,2019,66.72
Universe Code Part 2,5.8,2022,48.74
Universe Effect,6.6,2019,6.4
Universe Game,7.5,2023,3.75
Universe Game Part 1,7.9,1997,2.91
Universe Project,9.0,2003,11.8
Universe Signal,9.2,1995,8.31
Universe Signal Part 1,8.8,2001,6.62
Universe Theory,5.5,2019,2.42
Valley 2,5.3,2010,0.89
Valley 2 Part 1,7.8,2023,89.03
Valley 2 Part 2,9.3,2024,3.95
Valley 3,8.1,2015,2.34
Valley 4,7.6,2017,12.96
Valley 4 Part 1,7.8,2007,47.02
Valley 4 Part 2,8.7,2020,54.73
Valley 5,6.5,2012,5.73
Valley 5 Part 1,6.8,2011,100.0
Valley Code,8.4,2011,2.7
Valley Day,8.9,2015,20.88
Valley Day Part 1,7.6,2006,17.47
Valley Day Part 2,4.3,2021,4.47
Valley Effect,6.8,2020,16.35
Valley Effect Part 1,9.4,1987,0.78
Valley Effect Part 2,7.6,2021,22.46
Valley Effect Part 3,8.2,2022,100.0
Valley Project,8.9,2022,6.59
Valley Project Part 1,8.2,2015,15.27
Valley Project Part 2,6.2,1988,68.98
Valley Signal,8.0,2018,20.04
Valley Theory,8.4,2013,51.24
Valley Theory Part 1,5.6,2020,0.68
Vengeance 1,8.1,2007,5.55
Vengeance 4,7.0,2016,2.52
Vengeance 5,5.5,2002,3.46
Vengeance 5 Part 1,8.2,2016,37.97
Vengeance Code,9.0,2009,15.11
Vengeance Day,9.3,2018,24.52
Vengeance Day Part 1,8.3,1999,33.75
Vengeance Effect,5.2,1999,34.65
Vengeance Effect Part 1,6.7,2016,3.33
Vengeance Effect Part 2,9.0,2021,100.0
Vengeance Effect Part 3,5.5,2006,100.0
Vengeance Game,5.2,1991,12.57
Vengeance Night,8.9,2009,7.08
Vengeance Night Part 1,8.1,2010,0.63
Vengeance Night Part 2,6.2,2011,1.02
Vengeance Night Part 3,8.0,2003,2.07
Vengeance Project,5.7,2017,4.16
Vengeance Project Part 1,5.2,1991,7.45
Vengeance Protocol,5.5,2017,4.6
Vengeance Protocol Part 1,6.4,2023,13.63
Vengeance Signal,7.9,2015,0.55
Vengeance Signal Part 1,5.2,2009,69.11
Vengeance Signal Part 2,9.6,2015,5.68
Vengeance Theory,8.5,2001,3.11
Vengeance Theory Part 1,6.9,2024,4.16
Vengeance Theory Part 2,9.0,2013,4.73
Vengeance Theory Part 3,6.3,2017,9.58
Warrior 1,9.8,2000,68.74
Warrior 1 Part 1,9.0,2020,3.48
Warrior 1 Part 2,5.0,1994,2.3
Warrior 2,7.5,2012,2.68
Warrior 2 Part 1,8.5,2018,4.57
Warrior 3,8.0,1992,13.85
Warrior 3 Part 1,6.3,2008,4.88
Warrior 4,9.6,2003,2.89
Warrior 5,7.8,2011,16.13
Warrior 5 Part 1,6.7,1998,1.87
Warrior Code,7.0,2011,32.46
Warrior Effect,6.5,2019,95.95
Warrior Effect Part 1,8.0,2013,10.1
Warrior Game,5.8,2024,0.25
Warrior Game Part 1,4.8,1996,54.34
Warrior Project,8.1,2005,4.6
Warrior Project Part 1,7.0,2016,100.0
Warrior Protocol,8.0,2018,3.05
Warrior Signal,9.6,2022,23.08
